G,Date,Team,Stage,Opp,Outcome,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
20,2014,MIA,Away,SAS,L,41,10,21,0.476,3,9,0.333,8,9,0.889,1,9,10,5,0,2,1,1,31,26.8,-16
19,2014,MIA,Home,SAS,L,37,10,17,0.588,4,8,0.5,4,6,0.667,0,8,8,2,0,0,3,0,28,20.1,-21
18,2014,MIA,Home,SAS,L,39,9,14,0.643,2,4,0.5,2,3,0.667,1,4,5,7,5,0,7,5,22,18.2,-21
17,2014,MIA,Away,SAS,W,37,14,22,0.636,3,3,1,4,5,0.8,2,8,10,3,2,0,4,3,35,27.5,11
16,2014,MIA,Away,SAS,L,32,9,17,0.529,2,3,0.667,5,6,0.833,3,3,6,3,3,0,4,1,25,20,0
15,2014,MIA,Home,IND,W,31,8,12,0.667,0,0,9,9,1,1,3,4,6,1,1,2,1,25,24.9,27
14,2014,MIA,Away,IND,L,24,2,10,0.2,1,3,0.333,2,3,0.667,1,1,2,4,0,1,3,5,7,-0.1,1
13,2014,MIA,Home,IND,W,35,13,21,0.619,2,3,0.667,4,4,1,0,10,10,5,2,0,2,3,32,27.8,10
12,2014,MIA,Home,IND,W,39,9,14,0.643,1,2,0.5,7,9,0.778,1,4,5,7,3,0,6,2,26,22,21
11,2014,MIA,Away,IND,W,42,9,18,0.5,1,5,0.2,3,6,0.5,0,7,7,6,2,3,3,3,22,18,4
10,2014,MIA,Away,IND,L,40,11,18,0.611,1,5,0.2,2,2,1,1,9,10,5,3,0,4,3,25,21.5,-13
9,2014,MIA,Home,BRK,W,43,6,14,0.429,2,5,0.4,15,17,0.882,2,7,9,5,0,1,5,1,29,23.1,4
8,2014,MIA,Away,BRK,W,43,16,24,0.667,3,6,0.5,14,19,0.737,0,6,6,2,3,0,1,5,49,39.8,13
7,2014,MIA,Away,BRK,L,39,8,15,0.533,3,7,0.429,9,10,0.9,0,8,8,5,1,1,2,2,28,25.1,-14
6,2014,MIA,Home,BRK,W,39,9,18,0.5,0,3,0,4,6,0.667,0,4,4,3,2,1,2,2,22,15.4,6
5,2014,MIA,Home,BRK,W,36,10,15,0.667,0,0,2,2,1,1,4,5,3,0,0,1,2,22,17.7,10
4,2014,MIA,Away,CHA,W,42,10,19,0.526,1,5,0.2,10,12,0.833,0,7,7,9,3,1,2,3,31,29.8,12
3,2014,MIA,Away,CHA,W,35,10,18,0.556,1,2,0.5,9,10,0.9,0,10,10,6,2,0,2,1,30,27.8,20
2,2014,MIA,Home,CHA,W,39,11,17,0.647,1,5,0.2,9,12,0.75,0,6,6,8,4,0,4,2,32,29.9,6
1,2014,MIA,Home,CHA,W,38,8,16,0.5,4,8,0.5,7,10,0.7,0,9,9,1,0,0,3,1,27,17.8,0
20,2015,CLE,Home,GSW,L,46,13,33,0.394,2,10,0.2,4,8,0.5,3,15,18,9,2,0,6,3,32,20.2,-3
19,2015,CLE,Away,GSW,L,44,15,34,0.441,3,8,0.375,7,9,0.778,1,13,14,11,1,0,2,5,40,30.7,-11
18,2015,CLE,Home,GSW,L,40,7,22,0.318,1,4,0.25,5,10,0.5,2,10,12,8,0,0,2,5,20,11.4,-15
17,2015,CLE,Home,GSW,W,46,14,34,0.412,2,6,0.333,10,12,0.833,1,11,12,8,4,2,4,1,40,31.6,7
16,2015,CLE,Away,GSW,W,50,11,35,0.314,3,6,0.5,14,18,0.778,4,12,16,11,1,1,3,3,39,28.9,0
15,2015,CLE,Away,GSW,L,45,18,38,0.474,2,8,0.25,6,10,0.6,0,8,8,6,0,0,4,2,44,24.8,-3
14,2015,CLE,Home,ATL,W,29,10,20,0.5,2,6,0.333,1,4,0.25,0,9,9,7,2,1,1,2,23,20.3,20
13,2015,CLE,Home,ATL,W,46,14,37,0.378,1,6,0.167,8,10,0.8,8,10,18,13,3,0,6,4,37,29,-3
12,2015,CLE,Away,ATL,W,38,10,22,0.455,2,7,0.286,8,11,0.727,1,8,9,11,0,1,4,1,30,24.5,20
11,2015,CLE,Away,ATL,W,38,12,26,0.462,0,1,0,7,8,0.875,1,7,8,6,1,0,4,3,31,20,3
10,2015,CLE,Away,CHI,W,41,7,23,0.304,0,4,0,1,2,0.5,1,8,9,11,0,2,4,4,15,7.9,20
9,2015,CLE,Home,CHI,W,40,14,24,0.583,1,5,0.2,9,12,0.75,2,10,12,6,3,3,0,3,38,38.1,-4
8,2015,CLE,Away,CHI,W,43,10,30,0.333,1,7,0.143,4,4,1,2,12,14,8,1,2,8,4,25,11.4,5
7,2015,CLE,Away,CHI,L,43,8,25,0.32,1,7,0.143,10,11,0.909,2,6,8,14,1,1,7,4,27,18.4,0
6,2015,CLE,Home,CHI,W,34,13,29,0.448,0,2,0,7,9,0.778,3,5,8,5,2,1,2,2,33,24.1,31
5,2015,CLE,Home,CHI,L,41,9,22,0.409,0,3,0,1,2,0.5,4,11,15,9,3,1,6,4,19,15.3,-11
4,2015,CLE,Away,BOS,W,46,10,24,0.417,1,7,0.143,6,10,0.6,0,10,10,8,3,1,6,2,27,18.1,7
3,2015,CLE,Away,BOS,W,41,13,26,0.5,1,5,0.2,4,5,0.8,1,10,11,4,4,2,2,1,31,27.1,2
2,2015,CLE,Home,BOS,W,41,11,22,0.5,1,5,0.2,7,8,0.875,1,8,9,7,0,2,6,3,30,20.8,11
1,2015,CLE,Home,BOS,W,41,8,18,0.444,1,3,0.333,3,4,0.75,0,6,6,7,2,1,5,2,20,13.8,3
21,2016,CLE,Away,GSW,W,46,9,24,0.375,1,5,0.2,8,10,0.8,1,10,11,11,2,3,5,1,27,23.1,4
20,2016,CLE,Home,GSW,W,42,16,27,0.593,3,6,0.5,6,8,0.75,2,6,8,11,4,3,1,3,41,42.5,26
19,2016,CLE,Away,GSW,W,42,16,30,0.533,4,8,0.5,5,8,0.625,4,12,16,7,3,3,2,1,41,39.2,13
18,2016,CLE,Home,GSW,L,45,11,21,0.524,1,5,0.2,2,4,0.5,4,9,13,9,2,3,7,4,25,21.2,-12
17,2016,CLE,Home,GSW,W,40,14,26,0.538,1,2,0.5,3,5,0.6,2,9,11,6,1,2,5,2,32,23.5,24
16,2016,CLE,Away,GSW,L,33,7,17,0.412,1,5,0.2,4,4,1,0,8,8,9,4,1,7,3,19,15.1,-20
15,2016,CLE,Away,GSW,L,40,9,21,0.429,2,4,0.5,3,4,0.75,4,8,12,9,2,1,4,2,23,20.9,-9
14,2016,CLE,Away,TOR,W,41,13,22,0.591,3,6,0.5,4,7,0.571,2,9,11,6,1,3,3,2,33,29.2,22
13,2016,CLE,Home,TOR,W,31,10,17,0.588,2,4,0.5,1,3,0.333,0,6,6,8,2,1,2,2,23,21.6,31
12,2016,CLE,Away,TOR,L,45,11,16,0.688,1,3,0.333,6,6,1,4,5,9,6,2,1,1,3,29,31.2,-3
11,2016,CLE,Away,TOR,L,38,9,17,0.529,1,5,0.2,5,7,0.714,4,4,8,5,2,0,2,3,24,21.2,-12
10,2016,CLE,Home,TOR,W,33,7,13,0.538,0,2,0,9,17,0.529,1,10,11,11,3,0,2,2,23,25.1,16
9,2016,CLE,Home,TOR,W,28,11,13,0.846,0,1,0,2,4,0.5,2,4,6,4,2,1,4,3,24,21.4,20
